YearMonth,0,2,1,Total
2018-01-01,19965,97813,53270,171048
2018-02-01,14380,124045,50968,189393
2018-03-01,17046,109308,49933,176287
2018-04-01,17663,129569,57323,204555
2018-05-01,19149,106986,58467,184602
2018-06-01,23305,80573,50782,154660
2018-07-01,26137,76050,67439,169626
2018-08-01,23091,117230,56878,197199
2018-09-01,18365,98100,46359,162824
2018-10-01,22698,112598,54502,189798
2018-11-01,25338,114016,53312,192666
2018-12-01,28400,136104,59908,224412
2019-01-01,19985,94786,70812,185583
2019-02-01,23272,65945,53627,142844
2019-03-01,28408,104849,66971,200228
2019-04-01,27511,138678,53111,219300
2019-05-01,21910,90491,55366,167767
2019-06-01,18826,75152,34631,128609
2019-07-01,20739,73871,43537,138147
2019-08-01,25130,59078,51395,135603
2019-09-01,26108,101372,52964,180444
2019-10-01,29699,84111,59010,172820
